nsgName,nsgResourceGroup,ruleName,access,protocol,direction,priority,sourceAddresses,sourcePorts,destAddresses,destPorts,description
msa-pxnsg01,msa-nwrg01,MSA07_NETWORK_OUTBOUND,allow,*,outbound,107,172.16.0.0/16,*,192.168.0.208/29,*,
msa-pxnsg01,msa-nwrg01,MSA_NETWORK_ALLOUTBOUND,deny,*,outbound,150,172.16.0.0/16,*,192.168.0.0/24,*,
msa-pxnsg01,msa-nwrg01,MSA_subnet01_DenyOUTBOUND,deny,*,outbound,151,172.16.2.0/24,*,172.16.1.0/24,*,
msa-pxnsg01,msa-nwrg01,Allowsubnet02_OUTBOUND,allow,*,outbound,4093,172.16.2.0/24,*,172.16.2.0/24,*,
msa-pxnsg01,msa-nwrg01,DenyAllTCP_OUTBOUND,deny,tcp,outbound,4095,*,*,*,*,
msa-pxnsg01,msa-nwrg01,DenyAllUDP_OUTBOUND,deny,udp,outbound,4096,*,*,*,*,
msa-pxnsg02,msa-nwrg01,MSA01_NETWORK_INBOUND,allow,*,inbound,101,192.168.0.1/32,*,172.16.0.0/16,*,
msa-pxnsg02,msa-nwrg01,MSA02_NETWORK_INBOUND,allow,*,inbound,102,192.168.0.96/29,*,172.16.0.0/16,*,
msa-pxnsg02,msa-nwrg01,MSA03_NETWORK_INBOUND,allow,*,inbound,103,192.168.0.112/29,*,172.16.0.0/16,*,
msa-pxnsg02,msa-nwrg01,MSA04_NETWORK_INBOUND,allow,*,inbound,104,192.168.0.136/29,*,172.16.0.0/16,*,
msa-pxnsg02,msa-nwrg01,MSA05_NETWORK_INBOUND,allow,*,inbound,105,192.168.0.144/28,*,172.16.0.0/16,*,
msa-pxnsg02,msa-nwrg01,MSA06_NETWORK_INBOUND,allow,*,inbound,106,192.168.0.200/29,*,172.16.0.0/16,*,
msa-pxnsg02,msa-nwrg01,MSA07_NETWORK_INBOUND,allow,*,inbound,107,192.168.0.208/29,*,172.16.0.0/16,*,
msa-pxnsg02,msa-nwrg01,MSA_NETWORK_ALLINBOUND,deny,*,inbound,150,192.168.0.0/24,*,172.16.0.0/16,*,
msa-pxnsg02,msa-nwrg01,MSA_subnet01_DenyINBOUND,deny,*,inbound,151,172.16.1.0/24,*,172.16.2.0/24,*,
msa-pxnsg02,msa-nwrg01,Allowsubnet03,allow,*,inbound,4093,172.16.3.0/24,*,172.16.3.0/24,*,
msa-pxnsg02,msa-nwrg01,AllowLoadBalancer,allow,*,inbound,4094,AzureLoadBalancer,*,*,*,
msa-pxnsg02,msa-nwrg01,DenyAllTCP_INBOUND,deny,tcp,inbound,4095,*,*,*,*,
msa-pxnsg02,msa-nwrg01,DenyAllUDP_INBOUND,deny,udp,inbound,4096,*,*,*,*,
msa-pxnsg02,msa-nwrg01,MSA01_NETWORK_OUTBOUND,allow,*,outbound,101,172.16.0.0/16,*,192.168.0.1/32,*,
msa-pxnsg02,msa-nwrg01,MSA02_NETWORK_OUTBOUND,allow,*,outbound,102,172.16.0.0/16,*,192.168.0.96/29,*,
msa-pxnsg02,msa-nwrg01,MSA03_NETWORK_OUTBOUND,allow,*,outbound,103,172.16.0.0/16,*,192.168.0.112/29,*,
msa-pxnsg02,msa-nwrg01,MSA04_NETWORK_OUTBOUND,allow,*,outbound,104,172.16.0.0/16,*,192.168.0.136/29,*,
msa-pxnsg02,msa-nwrg01,MSA05_NETWORK_OUTBOUND,allow,*,outbound,105,172.16.0.0/16,*,192.168.0.144/28,*,
msa-pxnsg02,msa-nwrg01,MSA06_NETWORK_OUTBOUND,allow,*,outbound,106,172.16.0.0/16,*,192.168.0.200/29,*,
msa-pxnsg02,msa-nwrg01,MSA07_NETWORK_OUTBOUND,allow,*,outbound,107,172.16.0.0/16,*,192.168.0.208/29,*,
msa-pxnsg02,msa-nwrg01,MSA_NETWORK_ALLOUTBOUND,deny,tcp,outbound,150,172.16.0.0/16,*,192.168.0.0/24,*,
msa-pxnsg02,msa-nwrg01,MSA_subnet01_DenyOUTBOUND,deny,udp,outbound,151,172.16.2.0/24,*,172.16.1.0/24,*,
